character,pinyin,english,hsk
胆小鬼,dǎn xiǎo guǐ,coward,5
单元,dān yuán,"unit, cell, entrance number",5
挡,dǎng,"to block, to hinder, to obstruct",5
当代,dāng dài,"present, nowadays",5
倒,dào,"to pour, to reverse, on the contrary, instead",5
岛,dǎo,island,5
到达,dào dá,"to arrive, to reach",5
道德,dào dé,"morality, ethics",5
道理,dào lǐ,"principle, reason, argument",5
倒霉,dǎo méi,to have bad luck,5
导演,dǎo yǎn,"director (film, etc.), to direct",5
导致,dǎo zhì,"to lead to, to create, to bring about",5
等待,děng dài,"to wait for, to await",5
等候,děng hòu,to wait,5
登记,dēng jì,to register,5
登机牌,dēng jī pái,boarding pass,5
等于,děng yú,"to equal, to amount to",5
递,dì,"to pass, to hand over",5
滴,dī,"to drip, to drop Measure, for a drop",5
地道,dì dao,"authentic, genuine, real",5
地理,dì lǐ,geography,5
地区,dì qū,"region, district, area",5
的确,dí què,"really, indeed",5
敌人,dí rén,enemy,5
地毯,dì tǎn,carpet,5
地位,dì wèi,"position, status",5
地震,dì zhèn,earthquake,5
电池,diàn chí,"battery, electric cell",5
电台,diàn tái,"broadcasting station, radio station",5
点头,diǎn tóu,to nod,5
点心,diǎn xin,"light refreshments, Dimsum (Cantonese)",5
钓,diào,to fish,5
顶,dǐng,"top, roof, to carry on the head, most, extremely, highly Measure, for caps, hats, tents, etc.",5
丁,dīng,fourth,5
冻,dòng,"jelly, to freeze, to feel very cold",5
洞,dòng,"cave, hole",5
动画片,dòng huà piàn,"cartoon, animation",5
逗,dòu,"to stay, to pause, to tease",5
豆腐,dòu fu,tofu,5
度过,dù guò,"to spend, to pass",5
独立,dú lì,"independence, to stand alone, independent",5
独特,dú tè,"unique, distinct",5
短信,duǎn xìn,text message,5
堆,duī,"pile, stack, heap Measure, for piles of things",5
对比,duì bǐ,"contrast, comparison, to contrast, to compare",5
对待,duì dài,"treatment, to treat, to approach",5
对方,duì fāng,"counterpart, the other side",5
对手,duì shǒu,"opponent, rival",5
对象,duì xiàng,"lover, partner, target, object",5
对于,duì yú,"regarding, as far as sth. is concerned",5
吨,dūn,"Measure, for a ton",5
蹲,dūn,to squat,5
躲藏,duǒ cáng,to hide oneself,5
多亏,duō kuī,"luckily, thanks to",5
多余,duō yú,"unnecessary, surplus, needless",5
恶劣,è liè,"very bad, vile, disgusting",5
发表,fā biǎo,"to issue, to publish",5
发愁,fā chóu,"to worry, to be anxious",5
发达,fā dá,"to develop, developed (country, etc.)",5
发抖,fā dǒu,"to shiver, to shudder, to tremble",5
发挥,fā huī,"to develop (skill, ability, idea, etc.), to give play to",5
罚款,fá kuǎn,"fine, penalty, to fine",5
发明,fā míng,"invention, to invent",5
发票,fā piào,"invoice, receipt",5
发言,fā yán,"statement, to speak, to make a speech",5
法院,fǎ yuàn,"court of law, court",5
翻,fān,"to turn over, to flip over",5
反而,fǎn ér,"instead, on the contrary",5
反复,fǎn fù,repeatedly,5
繁荣,fán róng,"flourishing, prosperous, booming",5
凡是,fán shì,"every, any, all",5
反应,fǎn yìng,"reaction, response, to react, to respond",5
反正,fǎn zhèng,"anyway, whatever happens",5
方,fāng,"square, direction, side Measure, for square things",5
妨碍,fáng ài,"to hinder, to obstruct",5
方案,fāng àn,"plan, program, scheme",5
房东,fáng dōng,landlord,5
仿佛,fǎng fú,to seem as if,5
方式,fāng shì,"way, pattern, manner",5
放松,fàng sōng,"to relax, to loosen",5
肺,fèi,lung,5
非,fēi,"wrong, mistaken, not, non-, un-",5
废话,fèi huà,"nonsense, useless statement",5
费用,fèi yong,"expenses, cost",5
肥皂,féi zào,soap,5
分别,fēn bié,"difference, to leave each other, to distinguish, separate",5
分布,fēn bù,"to distribute, to be distributed",5
奋斗,fèn dòu,"to fight for, to strive for",5
纷纷,fēn fēn,one after another,5
愤怒,fèn nù,angry,5
分配,fēn pèi,"to assign, to allocate",5
分析,fēn xī,"analysis, to analyze",5
讽刺,fěng cì,"irony, sarcasm, to mock",5
风格,fēng gé,style,5
疯狂,fēng kuáng,"madness, crazy, mad",5
风俗,fēng sú,(social) custom,5
风险,fēng xiǎn,"risk,l venture",5
否定,fǒu dìng,"negation, to negate, to deny",5
否认,fǒu rèn,to deny,5
幅,fú,"Measure, for pictures, paintings, textiles, etc.",5
扶,fú,to help (sb. up),5
服从,fú cóng,"to obey, to submit",5
辅导,fǔ dǎo,"coaching, to tutor, to coach",5
付款,fù kuǎn,"payment, to pay",5
妇女,fù nǚ,woman,5
复制,fù zhì,"to copy, to reproduce",5
服装,fú zhuāng,"clothing, dress",5
盖,gài,"cover, to cover",5
改革,gǎi gé,"reform, to reform",5
改进,gǎi jìn,"improvement, to improve",5
概括,gài kuò,"summary, to summarize; to generalize",5
概念,gài niàn,"concept, idea",5
改善,gǎi shàn,"improvement, to improve",5
改正,gǎi zhèng,"correction, to correct, to amend",5
干脆,gān cuì,"clear-cut, straightforward, simply, you might as well",5
干活儿,gàn huó r,"to work (often hard, manual work)",5
感激,gǎn jī,"to feel grateful, to be thankful",5
赶紧,gǎn jǐn,"at once, losing no time",5
赶快,gǎn kuài,"at once, immediately",5
感受,gǎn shòu,"feeling, perception, to sense, to feel",5
感想,gǎn xiǎng,"impressions, reflections",5
钢铁,gāng tiě,steel,5
搞,gǎo,"to do, to make",5
告别,gào bié,"to leave, to say good-bye to",5
高档,gāo dàng,top grade,5
高速公路,gāo sù gōng lù,highway,5
隔壁,gé bì,next door,5
个别,gè bié,"exceptional, very few, individual",5
胳膊,gē bo,arm,5
革命,gé mìng,revolution,5
个人,gè rén,"individual, individual",5
格外,gé wài,"especially, particularly",5
个性,gè xìng,"personality, character",5
鸽子,gē zi,pigeon,5
各自,gè zì,"each, respective",5
根,gēn,"root, origin Measure, for long, slender objects",5
根本,gēn běn,"foundation, root, fundamental, simply, basic",5
更加,gèng jiā,"more, even more",5
公布,gōng bù,"to announce, to make public",5
工厂,gōng chǎng,factory,5
工程师,gōng chéng shī,engineer,5
功夫,gōng fu,"time, skill, labor, workmanship, kung fu",5
公开,gōng kāi,"to publish, to make public, public",5
功能,gōng néng,"function, feature",5
公平,gōng píng,"fair, impartial",5
工人,gōng rén,worker,5
贡献,gòng xiàn,"contribution, to contribute, to dedicate",5
工业,gōng yè,industry,5
公寓,gōng yù,block of flats,5
公元,gōng yuán,Christian era,5
公主,gōng zhǔ,princess,5
构成,gòu chéng,"to compose, to constitute, to configure (IT)",5
沟通,gōu tōng,to communicate,5
古代,gǔ dài,ancient times,5
古典,gǔ diǎn,classical,5
固定,gù dìng,"to fasten, to fix, fixed, set, regular",5
姑姑,gū gu,aunt (paternal),5
古老,gǔ lǎo,"ancient, age-old",5
姑娘,gū niang,"girl, young woman, daughter",5
股票,gǔ piào,"share, stock",5
固体,gù tǐ,solid (body),5
骨头,gǔ tou,"bone, strong character",5
鼓舞,gǔ wǔ,"encouragement, to inspire, to animate",5
雇佣,gù yōng,"to employ, to hire",5
挂号,guà hào,to register,5
乖,guāi,"obedient, well-behaved, clever, good",5
怪不得,guài bu de,no wonder so that is why,5
拐弯,guǎi wān,"to turn a corner, to change direction",5
官,guān,"officer, government official",5
关闭,guān bì,"to close, to shut",5
观察,guān chá,"observation, to observe, to watch, to survey",5
观点,guān diǎn,"point of view, viewpoint, standpoint",5
关怀,guān huái,"care, solicitude, to care for, to show solicitude for",5
冠军,guàn jūn,champion,5
观念,guān niàn,"concept, idea, thought",5
罐头,guàn tou,"tin, can",5
管子,guǎn zi,"tube, pipe",5
广场,guǎng chǎng,public square,5
广大,guǎng dà,"vast, extensive, widespread",5
广泛,guǎng fàn,"extensive, wide ranging",5
光滑,guāng huá,"smooth, sleek, glossy",5
光临,guāng lín,to visit as honorable guest,5
光明,guāng míng,"light, radiance, light, bright",5
光盘,guāng pán,"CD, DVD",5
光荣,guāng róng,"honor, glory, glorious, honorable",5
规矩,guī ju,"rule, custom, manner, practices",5
规律,guī lǜ,"law, regular pattern",5
规模,guī mó,"scale, scope, size, extent",5
柜台,guì tái,"(sales) counter, bar",5
规则,guī zé,"rule, regulation",5
滚,gǔn,"to boil, to roll",5
锅,guō,"pot, pan",5
过分,guò fèn,"excessive, undue",5
国籍,guó jí,"nationality, citizenship",5
过敏,guò mǐn,"allergy, to be allergic",5
过期,guò qī,"to expire, to exceed the time limit",5
国庆节,Guó qìng jié,National Day (October 1st),5
果实,guǒ shí,"fruits, gains",5
哈,hā,"haha, laughter",5
海关,hǎi guān,customs,5
海鲜,hǎi xiān,seafood,5
喊,hǎn,"to shout, to yell",5
行业,háng yè,"business, industry, profession",5
豪华,háo huá,luxurious,5
好奇,hào qí,"curious, inquisitive",5
何必,hé bì,there is no need to,5
合法,hé fǎ,"legal, legitimate",5
何况,hé kuàng,let alone,5
合理,hé lǐ,"reasonable, rational",5
和平,hé píng,peace,5
合同,hé tong,contract,5
核心,hé xīn,core,5
合影,hé yǐng,group photo,5
合作,hé zuò,"cooperation, to cooperate, to work together",5
恨,hèn,"hate, to hate",5
横,héng,"horizontal, across",5
后果,hòu guǒ,"consequence, aftermath",5
壶,hú,"pot Measure, for bottled liquid",5
蝴蝶,hú dié,butterfly,5
忽视,hū shì,"to neglect, to ignore, to overlook",5
胡说,hú shuō,to talk nonsense,5
胡同,hú tòng,"lane, alley",5
糊涂,hú tu,"confused, muddled",5
呼吸,hū xī,to breathe,5
胡须,hú xū,beard,5
滑冰,huá bīng,"skating, to skate",5
划船,huá chuán,"rowing, rowing boat, to row a boat",5
花生,huā shēng,peanut,5
话题,huà tí,topic,5
化学,huà xué,chemistry,5
华裔,huá yì,ethnic Chinese (but non-Chinese citizen),5
怀念,huái niàn,"to cherish the memory of, to think of",5
缓解,huǎn jiě,"to ease, to blunt, to help relieve (a crisis)",5
幻想,huàn xiǎng,"illusion, fantasy, to dream",5
皇帝,huáng dì,emperor,5
黄瓜,huáng guā,cucumber,5
皇后,huáng hòu,empress,5
黄金,huáng jīn,gold,5
慌张,huāng zhāng,"confused, flustered",5
挥,huī,"to wave, to brandish, to wipe away",5
灰,huī,"ash, dust, gray",5
灰尘,huī chén,dust,5
恢复,huī fù,"to recover, to restore",5
汇率,huì lǜ,exchange rate,5
灰心,huī xīn,"to lose heart, to be discouraged",5
婚礼,hūn lǐ,wedding,5
婚姻,hūn yīn,"wedding, marriage",5
伙伴,huǒ bàn,"partner, companion, mate",5
火柴,huǒ chái,match (for fire),5
活跃,huó yuè,"active, vigorous",5
基本,jī běn,"basic, fundamental",5
及格,jí gé,to pass a test,5
激烈,jī liè,"intense, fierce",5
系领带,jì lǐng dài,to tie one's necktie,5
纪录,jì lù,record,5
记录,jì lù,record,5
纪律,jì lǜ,discipline,5
急忙,jí máng,"hasty, in a hurry",5
寂寞,jì mò,lonely,5
纪念,jì niàn,"commemoration, to commemorate",5
机器,jī qì,machine,5
肌肉,jī ròu,muscle,5
计算,jì suàn,"calculation, to count, to calculate",5
集体,jí tǐ,collective,5
记忆,jì yì,"memory, to remember",5
集中,jí zhōng,"to concentrate, to focus",5
嫁,jià,to marry (woman -> men),5
甲,jiǎ,first(ly),5
嘉宾,jiā bīn,honoured guest,5
假如,jiǎ rú,if,5
驾驶,jià shǐ,"to drive, to pilot",5
家庭,jiā tíng,"family, household",5
家务,jiā wù,housework,5
家乡,jiā xiāng,"hometown, native place",5
价值,jià zhí,"value, worth",5
假装,jiǎ zhuāng,to pretend,5
夹子,jiā zi,"clip, clamp, tongs",5
捡,jiǎn,"to pick up, to gather",5
煎,jiān,to pan fry,5
肩膀,jiān bǎng,shoulder,5
剪刀,jiǎn dāo,scissors,5
艰巨,jiān jù,"arduous, formidable",5
坚决,jiān jué,"resolute, determined",5
艰苦,jiān kǔ,"difficult, hard",5
建立,jiàn lì,"to build, to establish",5
简历,jiǎn lì,"CV, resume",5
键盘,jiàn pán,keyboard,5
坚强,jiān qiáng,strong,5
尖锐,jiān ruì,"sharp, acute (illness)",5
建设,jiàn shè,"construction, to build, to construct",5
健身房,jiàn shēn fáng,"gym, gymnasium",5
建议,jiàn yì,"suggestion, to suggest",5
简直,jiǎn zhí,"simply, totally",5
建筑,jiàn zhù,"building, architecture, to build, to construct",5
讲究,jiǎng jiu,"to pay attention to, exquisite, tasteful",5
降落,jiàng luò,"to descend, to land",5
酱油,jiàng yóu,soy sauce,5
讲座,jiǎng zuò,lecture,5
浇,jiāo,"to water, to pour, to sprinkle",5
教材,jiào cái,teaching material,5
角度,jiǎo dù,"angle, point of view",5
狡猾,jiǎo huá,"sly, cunning, tricky",5
交换,jiāo huàn,"exchange, to exchange, to swap, to switch",5
交际,jiāo jì,"communication, social intercourse, socialize",5
教练,jiào liàn,"sports coach, instructor",5
郊区,jiāo qū,suburbs,5
胶水,jiāo shuǐ,glue,5
教训,jiào xùn,"lesson, to teach sb. a lesson",5
节,jié,"festival, holiday, segmet, joint, part, to save, to economize Measure, for segments",5
届,jiè,"to become due Measure, for events, meetings, etc.",5
接触,jiē chù,"to touch, to contact, to get in touch with",5
接待,jiē dài,to receive (visitor),5
阶段,jiē duàn,"stage, section, phase",5
解放,jiě fàng,"liberation, to liberate, to emancipate",5
结构,jié gòu,"structure, makeup, composition",5
结合,jié hé,"binding, to combine, to link, to integrate",5
接近,jiē jìn,"to near, to approach, to be close to",5
借口,jiè kǒu,"excuse, pretext",5
结论,jié lùn,conclusion,5
节省,jié shěng,"to save, to economize, to use sparingly",5
结实,jiē shi,"solid, durable, sturdy",5
解说员,jiě shuō yuán,commentator,5
戒烟,jiè yān,to give up smoking,5
结账,jié zhàng,to pay the bill,5
接着,jiē zhe,"to follow, to carry on, then, after that",5
戒指,jiè zhi,ring (for finger),5
紧,jǐn,"thight, tense, urgent",5
进步,jìn bù,"progress, improvement, to improve, make progress",5
近代,jìn dài,modern times,5
紧急,jǐn jí,"urgent, pressing",5
进口,jìn kǒu,"import, to import",5
尽力,jìn lì,to do all one can,5
尽量,jǐn liàng,to the best of one's ability,5
谨慎,jǐn shèn,"cautious, prudent",5
金属,jīn shǔ,metal,5
敬爱,jìng ài,to respect and love,5
经典,jīng diǎn,"classics, scriptures, classical",5
精力,jīng lì,energy,5
景色,jǐng sè,"scenery, view, landscape",5
经营,jīng yíng,"to run, to operate, to engage in (business, etc.)",5
救,jiù,"to relieve, to rescue",5
酒吧,jiǔ bā,"bar, pub",5
救护车,jiù hù chē,ambulance,5
舅舅,jiù jiu,uncle (maternal),5
举,jǔ,"to raise, to hold up, to elect",5
具备,jù bèi,"to possess, to have",5
巨大,jù dà,huge enormous,5
聚会,jù huì,"party, gathering, to party, to get together",5
俱乐部,jù lè bù,club,5
居然,jū rán,unexpectedly,5
据说,jù shuō,"it is said, reportedly",5
具体,jù tǐ,"concrete, specific",5
桔子,jú zi,tangerine,5
捐,juān,"tax, contribution, to contribute, to donate, to give up",5
卷,juǎn,"roll, to roll Measure, for roll, spool",5
绝对,jué duì,"absolute, unconditional",5
决赛,jué sài,final (competition),5
角色,jué sè,"character (in a book, play, etc.)",5
决心,jué xīn,"determination, resolution, to make up one's mind",5
军事,jūn shì,military affairs,5
均匀,jūn yún,"even, homogeneous",5
卡车,kǎ chē,"truck, lorry",5
开发,kāi fā,"to develop (e.g. IT), to exploit (a resource)",5
开放,kāi fàng,"to open up (for public, etc.)",5
开幕式,kāi mù shì,opening ceremony,5
开心,kāi xīn,"to feel happy, to make fun of sb., happy",5
砍,kǎn,"to chop, to cut down",5
看不起,kàn bu qǐ,to look down upon,5
看来,kàn lái,"it seems, it appears",5
抗议,kàng yì,to protest,5
烤鸭,kǎo yā,roast duck,5
克,kè,"to subdue, to restrain Measure, 1 gram",5
颗,kē,"Measure, for grain, pearls, teeth, stars, etc.",5
课程,kè chéng,"course, class",5
克服,kè fú,"to overcome, to conquer, to put up with",5
客观,kè guān,"objective, impartial",5
可见,kě jiàn,"it is obvious that, it can clearly be seen that",5
可靠,kě kào,"reliable, dependable",5
刻苦,kè kǔ,"hardworking, assiduous",5
可怕,kě pà,"awful, terrible",5
客厅,kè tīng,living room,5
恐怖,kǒng bù,"terrble, fearful, frightening",5
空间,kōng jiān,space,5
空闲,kòng xián,"leisure, idle",5
控制,kòng zhì,"control, to control",5
口味,kǒu wèi,"taste, flavour",5
夸,kuā,"to praise, to boast",5
会计,kuài jì,"accountant, accounting",5
矿泉水,kuàng quán shuǐ,mineral water,5
辣椒,là jiāo,"hot pepper, chili",5
蜡烛,là zhú,candle,5
来自,lái zì,to come from,5
拦,lán,"to block, to hinder",5
烂,làn,"to rot, rotten, mushy, soft",5
狼,láng,wolf,5
老百姓,lǎo bǎi xìng,ordinary people,5
老板,lǎo bǎn,"boss, owner",5
劳动,láo dòng,"work, labour",5
劳驾,láo jià,excuse me,5
姥姥,lǎo lao,grandmother (mother's mum),5
老实,lǎo shi,"honest, sincere",5
老鼠,lǎo shǔ,"rat, mouse",5
乐观,lè guān,"optimistic, hopeful",5
雷,léi,thunder,5
类,lèi,"sort, kind, category Measure, for sorts, types, categories, etc.",5
梨,lí,pear,5
粒,lì,"grain Measure, for small roung things",5
礼拜天,lǐ bài tiān,Sunday,5
立方,lì fāng,cube,5
离婚,lí hūn,"divorce, to divorce (from)",5
立即,lì jí,"immediately, at once",5
立刻,lì kè,"immediately, at once",5
力量,lì liàng,"power, force, strength",5
理论,lǐ lùn,theory,5
厘米,lí mǐ,"Measure, centimeter",5
利润,lì rùn,profit,5
利息,lì xī,interest (on a loan),5
利益,lì yì,benefit,5
利用,lì yòng,"to make use of, to utilize",5
理由,lǐ yóu,"reason, justification",5
恋爱,liàn ài,"love, to be in love, to have an affair",5
联合,lián hé,"alliance, union, to unite, to join, combined, joint",5
连忙,lián máng,"promptly, at once",5
连续剧,lián xù jù,(TV) series,5
良好,liáng hǎo,"good, favorable, fine",5
粮食,liáng shi,"food, cereals",5
了不起,liǎo bu qǐ,"amazing, extraordnary",5
临时,lín shí,temporary,5
铃,líng,bell,5
领导,lǐng dǎo,"leader, leadership, to lead",5
灵活,líng huó,"flexible, agile, nimble",5
零件,líng jiàn,"part, component",5
零钱,líng qián,change (money),5
零食,líng shí,snack,5
领域,lǐng yù,"field, domain, area, territory",5
流传,liú chuán,"to spread, to circulate, to hand down",5
浏览,liú lǎn,"to skim over, to browse, to surf (IT)",5
龙,lóng,dragon,5
漏,lòu,to leak,5
露,lù,"dew, syrup, nectar, to uncover, to expose, to reveal",5
陆地,lù dì,"land, dry land",5
录取,lù qǔ,"to enroll, being admitted (e.g. university)",5
陆续,lù xù,"one after another, bit by bit",5
录音,lù yīn,"sound recording, to record",5
轮流,lún liú,"to alternate, to take turns",5
论文,lùn wén,"paper, thesis",5
落后,luò hòu,"to fall behind, to lag",5
逻辑,luó ji,logic,5
骂,mà,"abuse, to abuse, to curse",5
麦克风,mài kè fēng,microphone,5
馒头,mán tou,steamed bun,5
满足,mǎn zú,to satisfy,5
毛,máo,"hair, down Measure, for 0.1 RMB",5
毛病,máo bìng,"defect, fault, trouble",5
矛盾,máo dùn,"contradiction, contradictory",5
冒险,mào xiǎn,to take a risk,5
贸易,mào yì,trade,5
魅力,mèi lì,"charm, fascination",5
眉毛,méi mao,eyebrow,5
美术,měi shù,"fine arts, art",5
煤炭,méi tàn,coal,5
蜜蜂,mì fēng,honeybee,5
迷路,mí lù,"to get lost, to lose the way",5
秘密,mì mì,"secret, secret, confidential",5
密切,mì qiè,"close, intimate",5
秘书,mì shū,secretary,5
谜语,mí yǔ,riddle,5
面对,miàn duì,"to face, to confront",5
棉花,mián hua,cotton,5
面积,miàn jī,area,5
面临,miàn lín,"to face sth., to be confronted with",5
秒,miǎo,second,5
苗条,miáo tiao,"slim, slender, graceful",5
描写,miáo xiě,"description, to describe, to depict, to portray",5
民主,mín zhǔ,"democracy, democratic",5
命令,mìng lìng,"order, command, to order, to command",5
名牌,míng pái,famous brand,5
名片,míng piàn,(business) card,5
明确,míng què,"clear, definite, explicit",5
名胜古迹,míng shèng gǔ jì,historical sites and scenic spots,5
明显,míng xiǎn,"clear, obvious",5
明信片,míng xìn piàn,postcard,5
明星,míng xīng,"star, celebrity",5
命运,mìng yùn,"fate, destiny",5
摸,mō,"to touch, to feel with the hand, to grope",5
模仿,mó fǎng,"to imitate, to copy",5
模糊,mó hu,"fuzzy, blurred, indistinct",5
陌生,mò shēng,"strange, unfamiliar",5
摩托车,mó tuō chē,motorbike,5
某,mǒu,"some, certain",5
目标,mù biāo,"goal, target, objective",5
目录,mù lù,"catalog, table of contents",5
目前,mù qián,"at present, now",5
木头,mù tou,"log of wood, blockhead",5
哪怕,nǎ pà,even if,5
难怪,nán guài,no wonder (that),5
难看,nán kàn,ugly,5
脑袋,nǎo dai,"head, skull, brain",5
内科,nèi kē,internal medicine,5
嫩,nèn,"tender, soft, inexperienced",5
能干,néng gàn,"able, capable, competent",5
能源,néng yuán,"energy, energy source",5
念,niàn,to read aloud,5
年代,nián dài,"decade, age, period",5
年纪,nián jì,age,5
宁可,nìng kě,"would rather, preferably",5
牛仔裤,niú zǎi kù,jeans,5
浓,nóng,"dense, concentrated, thick",5
农民,nóng mín,"peasant, farmer",5
农业,nóng yè,"agriculture, farming",5
女士,nǚ shì,"lady, madam",5
偶然,ǒu rán,"accidentally, by chance",5
派,pài,"school, group, pi (π), to send, to assign",5
拍,pāi,"to clap, to slap, to take (a photo)",5
排队,pái duì,"to queue, to line up",5
排球,pái qiú,volleyball,5
盼望,pàn wàng,"to hope for, to look forward to",5
赔偿,péi cháng,"compensation, to compensate",5
佩服,pèi fu,to admire,5
配合,pèi hé,"to coordinate, to cooperate, to fit",5
培养,péi yǎng,"to train, to cultivate, to bring up",5
盆,pén,"basin, tub, pot Measure, for approx. 128 liters",5
碰见,pèng jiàn,"to run into, to bump into",5
匹,pǐ,"ordinary person Measure, for horses and cloth",5
批,pī,"to criticize Measure, for batches, lots, etc.",5
披,pī,"to drape over one's shoulder, to crack",5
疲劳,pí láo,"wariness, fatigue, tired, weary, exhausted",5
皮鞋,pí xié,leather shoes,5
批准,pī zhǔn,"to approve, to ratify",5
片,piàn,"thin piece, slice, film Measure, for movies, scenes, etc. pieces of things",5
片面,piàn miàn,"unilateral, one-sided",5
飘,piāo,"to flutter, to float (in the wind)",5
频道,pín dào,"frequency, (TV) channel",5
品种,pǐn zhǒng,"variety, breed",5
凭,píng,"proof, to rely on, to lean against, according to, on the basis of",5
平,píng,"flat, level, calm, peaceful",5
平常,píng cháng,"ordinary, common, generally, usually",5
平等,píng děng,"equality, equal",5
平方,píng fāng,square,5
平衡,píng héng,"balance, equilibrium",5
评价,píng jià,"to assess, to evaluate",5
平静,píng jìng,"calm, quiet, tranquil",5
平均,píng jūn,"average, average, mean",5
破产,pò chǎn,"bankruptcy, to go bankrupt",5
破坏,pò huài,"destruction, damage, to destroy, to break",5
迫切,pò qiè,"urgent, pressing",5
朴素,pǔ sù,"plain, simple",5
期待,qī dài,"expectation, to look forward to",5
启发,qǐ fā,"inspiration, enlightenment, to inspire, to enlighten",5
气氛,qì fēn,"atmosphere, mood",5
奇迹,qí jì,"miracle, wonder",5
期间,qī jiān,"period of time, period",5
企图,qǐ tú,"attempt, to attempt",5
企业,qǐ yè,"enterprise, company",5
汽油,qì yóu,"gas, gasoline",5
其余,qí yú,"the rest, the others",5
欠,qiàn,"to owe, deficient",5
浅,qiǎn,"shallow, light",5
牵,qiān,"to pull, to lead, to hold hands",5
前途,qián tú,"prospect, future",5
谦虚,qiān xū,modest,5
签字,qiān zì,to sign (signature),5
抢,qiǎng,"to grab, to rob",5
枪,qiāng,"gun, spear",5
强调,qiáng diào,"to emphasize, to stress, to underling",5
强烈,qiáng liè,"intense, strong, violent",5
瞧,qiáo,"to look at, to see",5
巧妙,qiǎo miào,"ingenious, clever",5
悄悄,qiāo qiāo,"quietly, secretly",5
切,qiē,"to cut, to chop",5
亲爱,qīn ài,"dear, beloved",5
勤奋,qín fèn,"hardworking, diligent",5
勤劳,qín láo,"hardworking, industrious",5
侵略,qīn lüè,"invasion, aggression, to invade",5
亲切,qīn qiè,"friendliness, hospitality, kind, cordial, amiable",5
亲自,qīn zì,personally,5
青,qīng,blue/green,5
青春,qīng chūn,"youth, youthfulness",5
清淡,qīng dàn,light (food),5
情景,qíng jǐng,"scene, sight, condition, circumstances",5
请求,qǐng qiú,"request, to request, to ask",5
青少年,qīng shào nián,"young person, teenager",5
轻视,qīng shì,"to look down upon, to contempt",5
情绪,qíng xù,"feeling, mood, sentiment",5
庆祝,qìng zhù,to celebrate,5
球迷,qiú mí,football fan,5
娶,qǔ,to marry (men -> woman),5
去世,qù shì,"to pass away, to die",5
趋势,qū shì,"trend, tendency",5
取消,qǔ xiāo,"cancellation, to cancel",5
劝,quàn,"to advise, to persuade, to encourage",5
圈,quān,"circle, ring, loop Measure, for loops, laps, etc.",5
权利,quán lì,"right, privilege",5
权力,quán lì,"power, authority",5
全面,quán miàn,"all-around, overall, comprehensive",5
确定,què dìng,"to make sure, to define, to determine",5
缺乏,quē fá,"shortage, to be short of, to lack",5
确认,què rèn,"confirmation, to confirm, to verify",5
燃烧,rán shāo,"to burn, to kindle",5
嚷,rǎng,"to blurt out, to shout",5
绕,rào,"to wind, to coil (around), to go around",5
热爱,rè ài,"to love ardently, to adore",5
热烈,rè liè,"warm (welcome, etc.), enthusiastic",5
热心,rè xīn,"enthusiasm, enthusiastic, ardent, warmhearted",5
忍不住,rěn bu zhù,"cannot help, unable to bear",5
人才,rén cái,"talent, talented person",5
人口,rén kǒu,population,5
人类,rén lèi,"humanity, mankind",5
人生,rén shēng,"life, human life",5
人事,rén shì,"human affairs, personnel",5
人物,rén wù,"character, protagonist",5
人员,rén yuán,"staff, personnel",5
日常,rì cháng,daily,5
日程,rì chéng,schedule,5
日历,rì lì,calendar,5
日期,rì qī,date,5
日用品,rì yòng pǐn,articles for daily use,5
融化,róng huà,"to melt, to thaw",5
荣幸,róng xìng,honoured,5
荣誉,róng yù,"honour, glory",5
如何,rú hé,"how, in what way",5
如今,rú jīn,nowadays,5
软件,ruǎn jiàn,software,5
弱,ruò,weak,5
洒,sǎ,"to sprinkle, to spray",5
嗓子,sǎng zi,"throat, voice",5
傻,shǎ,foolish,5
杀,shā,to kill,5
沙漠,shā mò,desert,5
沙滩,shā tān,beach,5
晒,shài,"to share files, to dry in the sun, to sunbathe",5
删除,shān chú,to delete,5
闪电,shǎn diàn,lightning,5
善良,shàn liáng,"kindhearted, good, honest",5
善于,shàn yú,to be good at,5
扇子,shàn zi,fan,5
上当,shàng dàng,to be fooled,5
商品,shāng pǐn,"good, commodity",5
商业,shāng yè,"business, commerce, trade",5
勺子,sháo zi,spoon,5
蛇,shé,snake,5
设备,shè bèi,"equipment, facilities",5
舍不得,shě bu de,reluctant to give up or let go,5
设计,shè jì,"design, plan, to design, to plan",5
射击,shè jī,"to shoot, to fire (a gun)",5
设施,shè shī,"facility, installation",5
舌头,shé tou,tongue,5
摄影,shè yǐng,"to take a photo, to shoot a movie",5
伸,shēn,"to stretch, to extend",5
身材,shēn cái,"figure, stature",5
身份,shēn fèn,"identity, status",5
神话,shén huà,"fairy tale, myth",5
神经,shén jīng,nerve,5
深刻,shēn kè,"profound, deep",5
神秘,shén mì,"mystery, mysterious",5
升,shēng,"to promote, to raise Measure, 1 liter",5
生产,shēng chǎn,"production, to produce, to manufacture",5
声调,shēng diào,"tone, note",5
生动,shēng dòng,"vivid, lively",5
胜利,shèng lì,"victory, triumph",5
省略,shěng lüè,"to leave out, to omit",5
绳子,shéng zi,"string, rope, cord",5
诗,shī,poem,5
士兵,shì bīng,soldier,5
时代,shí dài,"time, era, epoch",5
似的,shì de,(seems) as if,5
是否,shì fǒu,whether (or not),5
实话,shí huà,truth,5
实践,shí jiàn,"to practice, to carry out",5
